chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
jfreechart\src\main\java\org\jfree\chart\block\RectangleConstraint.java,RectangleConstraint.java,320,171,0.534375,35,0.015268
jfreechart\src\main\java\org\jfree\chart\block\LengthConstraintType.java,LengthConstraintType.java,52,46,0.884615,1,0.884615
jfreechart\src\main\java\org\jfree\chart\event\package-info.java,package-info.java,6,5,0.833333,0,∞
jfreechart\src\main\java\org\jfree\chart\event\AxisChangeEvent.java,AxisChangeEvent.java,62,51,0.822581,3,0.274194
jfreechart\src\main\java\org\jfree\chart\event\PlotChangeEvent.java,PlotChangeEvent.java,64,52,0.8125,3,0.270833
jfreechart\src\main\java\org\jfree\chart\event\ChartChangeEvent.java,ChartChangeEvent.java,115,81,0.704348,8,0.088043
jfreechart\src\main\java\org\jfree\chart\event\TitleChangeEvent.java,TitleChangeEvent.java,61,49,0.803279,3,0.26776
jfreechart\src\main\java\org\jfree\chart\event\MarkerChangeEvent.java,MarkerChangeEvent.java,63,52,0.825397,3,0.275132
jfreechart\src\main\java\org\jfree\chart\event\AxisChangeListener.java,AxisChangeListener.java,55,50,0.909091,1,0.909091
jfreechart\src\main\java\org\jfree\chart\event\ChartProgressEvent.java,ChartProgressEvent.java,115,80,0.695652,8,0.086957
jfreechart\src\main\java\org\jfree\chart\event\PlotChangeListener.java,PlotChangeListener.java,50,45,0.9,1,0.9
jfreechart\src\main\java\org\jfree\chart\event\ChartChangeListener.java,ChartChangeListener.java,52,47,0.903846,1,0.903846
jfreechart\src\main\java\org\jfree\chart\event\RendererChangeEvent.java,RendererChangeEvent.java,87,68,0.781609,5,0.156322
jfreechart\src\main\java\org\jfree\chart\event\TitleChangeListener.java,TitleChangeListener.java,50,45,0.9,1,0.9
jfreechart\src\main\java\org\jfree\chart\event\ChartChangeEventType.java,ChartChangeEventType.java,47,41,0.87234,1,0.87234
jfreechart\src\main\java\org\jfree\chart\event\MarkerChangeListener.java,MarkerChangeListener.java,50,44,0.88,1,0.88
jfreechart\src\main\java\org\jfree\chart\event\AnnotationChangeEvent.java,AnnotationChangeEvent.java,66,52,0.787879,3,0.262626
jfreechart\src\main\java\org\jfree\chart\event\ChartProgressListener.java,ChartProgressListener.java,49,44,0.897959,1,0.897959
jfreechart\src\main\java\org\jfree\chart\event\ChartProgressEventType.java,ChartProgressEventType.java,45,40,0.888889,1,0.888889
jfreechart\src\main\java\org\jfree\chart\event\RendererChangeListener.java,RendererChangeListener.java,49,44,0.897959,1,0.897959
jfreechart\src\main\java\org\jfree\chart\event\AnnotationChangeListener.java,AnnotationChangeListener.java,50,44,0.88,1,0.88
jfreechart\src\main\java\org\jfree\chart\swing\editor\LCBLayout.java,LCBLayout.java,236,89,0.377119,18,0.020951
jfreechart\src\main\java\org\jfree\chart\swing\editor\ChartEditor.java,ChartEditor.java,52,46,0.884615,1,0.884615
jfreechart\src\main\java\org\jfree\chart\swing\editor\PaintSample.java,PaintSample.java,100,57,0.57,6,0.095
jfreechart\src\main\java\org\jfree\chart\swing\editor\package-info.java,package-info.java,4,3,0.75,0,∞
jfreechart\src\main\java\org\jfree\chart\swing\editor\StrokeSample.java,StrokeSample.java,146,74,0.506849,9,0.056317
jfreechart\src\main\java\org\jfree\chart\swing\editor\FontChooserPanel.java,FontChooserPanel.java,182,69,0.379121,15,0.025275
jfreechart\src\main\java\org\jfree\chart\swing\editor\FontDisplayField.java,FontDisplayField.java,86,57,0.662791,5,0.132558
jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultAxisEditor.java,DefaultAxisEditor.java,443,222,0.501129,30,0.016704
jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultPlotEditor.java,DefaultPlotEditor.java,561,196,0.349376,60,0.005823
jfreechart\src\main\java\org\jfree\chart\swing\editor\ChartEditorFactory.java,ChartEditorFactory.java,50,45,0.9,1,0.9
jfreechart\src\main\java\org\jfree\chart\swing\editor\ChartEditorManager.java,ChartEditorManager.java,81,63,0.777778,4,0.194444
jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultChartEditor.java,DefaultChartEditor.java,233,90,0.386266,12,0.032189
jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultTitleEditor.java,DefaultTitleEditor.java,253,98,0.387352,17,0.022785
jfreechart\src\main\java\org\jfree\chart\swing\editor\StrokeChooserPanel.java,StrokeChooserPanel.java,83,53,0.638554,3,0.212851
jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultLogAxisEditor.java,DefaultLogAxisEditor.java,148,66,0.445946,12,0.037162
jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultPolarPlotEditor.java,DefaultPolarPlotEditor.java,187,77,0.411765,13,0.031674
jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultValueAxisEditor.java,DefaultValueAxisEditor.java,367,141,0.384196,27,0.014229
jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultNumberAxisEditor.java,DefaultNumberAxisEditor.java,151,54,0.357616,11,0.032511
jfreechart\src\main\java\org\jfree\chart\swing\editor\DefaultChartEditorFactory.java,DefaultChartEditorFactory.java,58,48,0.827586,3,0.275862
jfreechart\src\main\java\org\jfree\chart\swing\Overlay.java,Overlay.java,78,71,0.910256,1,0.910256
jfreechart\src\main\java\org\jfree\chart\swing\UIUtils.java,UIUtils.java,181,96,0.530387,12,0.044199
jfreechart\src\main\java\org\jfree\chart\swing\ChartFrame.java,ChartFrame.java,83,58,0.698795,5,0.139759
jfreechart\src\main\java\org\jfree\chart\swing\ChartPanel.java,ChartPanel.java,2750,1190,0.432727,360,0.001202
jfreechart\src\main\java\org\jfree\chart\swing\package-info.java,package-info.java,4,3,0.75,0,∞
